order_id,customer_id,department_id,amount,order_status
101,1,10,1200,Completed
102,2,20,850,Completed
103,1,10,450,Pending
104,3,30,2200,Completed
105,4,20,700,Cancelled
106,5,40,1500,Completed
107,9,10,900,Completed
108,2,20,1250,Pending
109,6,30,500,Completed
110,,40,300,Pending
111,7,50,1800,Completed
112,8,10,650,Completed
113,10,20,980,Cancelled
114,11,30,1750,Completed
115,12,40,400,Pending
116,13,50,2100,Completed
117,14,20,760,Completed
118,15,10,3200,Completed
119,16,30,1100,Pending
120,17,40,550,Cancelled
121,18,50,1450,Completed
122,19,10,2750,Completed
123,20,20,890,Pending
124,21,30,1300,Completed
125,22,40,620,Completed
126,23,50,1950,Cancelled
127,24,10,720,Completed
128,25,20,1050,Pending
129,3,30,1600,Completed
130,6,40,480,Completed
